game_link,game_id,box_score
http://limpar.locallabs.com/games/7abdfa2f-f53e-485c-b616-35e3dacf814b,7abdfa2f-f53e-485c-b616-35e3dacf814b,https://www.acufirestorm.com/SIDHelp/fullBoxScores/19/12/5848
http://limpar.locallabs.com/games/ad66b0c9-c9f3-4c9c-a890-811a342e691e,ad66b0c9-c9f3-4c9c-a890-811a342e691e,https://www.acufirestorm.com/SIDHelp/fullBoxScores/19/12/5849
http://limpar.locallabs.com/games/22d3ccce-a8d1-47c0-976b-d7d1a7086974,22d3ccce-a8d1-47c0-976b-d7d1a7086974,https://www.acufirestorm.com/SIDHelp/fullBoxScores/19/12/5850
http://limpar.locallabs.com/games/0e3bf913-eec3-4bdf-ac85-6f171ea2df6f,0e3bf913-eec3-4bdf-ac85-6f171ea2df6f,https://www.acufirestorm.com/SIDHelp/fullBoxScores/19/12/5851
http://limpar.locallabs.com/games/f26fec4c-080b-4455-a124-b632c3c0b41c,f26fec4c-080b-4455-a124-b632c3c0b41c,https://www.acufirestorm.com/SIDHelp/fullBoxScores/19/12/5852
http://limpar.locallabs.com/games/03a9c051-144a-4d90-a6bb-8d092cd8ea82,03a9c051-144a-4d90-a6bb-8d092cd8ea82,https://gobattlers.com/sports/softball/stats/2022/wheeling-university/boxscore/6432
http://limpar.locallabs.com/games/3389b284-a33e-49f6-b484-851a5179fb7a,3389b284-a33e-49f6-b484-851a5179fb7a,https://gobattlers.com/sports/softball/stats/2022/wheeling-university/boxscore/6501
http://limpar.locallabs.com/games/51583b21-33e5-4879-9e0c-3fdcbc79ac6b,51583b21-33e5-4879-9e0c-3fdcbc79ac6b,https://goashlandeagles.com/sports/softball/stats/2022/wheeling/boxscore/6672
http://limpar.locallabs.com/games/89360b50-e7fa-49e5-9edc-45f0455aacdd,89360b50-e7fa-49e5-9edc-45f0455aacdd,https://goaugie.com/sports/softball/stats/2022/rollins-college/boxscore/9480
http://limpar.locallabs.com/games/1a00033c-8d9f-4fcd-9e4d-c74386e8a236,1a00033c-8d9f-4fcd-9e4d-c74386e8a236,https://goaugie.com/sports/softball/stats/2022/rollins-college/boxscore/9517
